LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,GGREV,TOT,PC_GDP,A,2000,34.6350417014927,
USA,GGREV,TOT,PC_GDP,A,2001,33.7684147190933,
USA,GGREV,TOT,PC_GDP,A,2002,31.4389918189115,
USA,GGREV,TOT,PC_GDP,A,2003,30.8433240663556,
USA,GGREV,TOT,PC_GDP,A,2004,31.0848864174725,
USA,GGREV,TOT,PC_GDP,A,2005,32.4992241470084,
USA,GGREV,TOT,PC_GDP,A,2006,33.3307283521803,
USA,GGREV,TOT,PC_GDP,A,2007,33.3873298113032,
USA,GGREV,TOT,PC_GDP,A,2008,32.3348059040768,
USA,GGREV,TOT,PC_GDP,A,2009,30.0954547316296,
USA,GGREV,TOT,PC_GDP,A,2010,30.6305995028231,
USA,GGREV,TOT,PC_GDP,A,2011,30.9361288345293,
USA,GGREV,TOT,PC_GDP,A,2012,30.897685365483,
USA,GGREV,TOT,PC_GDP,A,2013,33.0710338465455,
USA,GGREV,TOT,PC_GDP,A,2014,33.1084313109795,
USA,GGREV,TOT,PC_GDP,A,2015,33.3609423101355,
USA,GGREV,TOT,PC_GDP,A,2016,32.9014482185873,
USA,GGREV,TOT,PC_GDP,A,2017,33.7868927956152,
USA,GGREV,TOT,PC_GDP,A,2018,31.7764308738486,
USA,GGREV,TOT,PC_GDP,A,2019,31.8281669009388,32.7937187350175
USA,GGREV,TOT,PC_GDP,A,2020,32.4767277729901,
