LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes,Share US/World,
USA,GDP,TOT,MLN_USD,A,2007,14474228,,0.343511925282161,
USA,GDP,TOT,MLN_USD,A,2008,14769862,,0.339042054598471,
USA,GDP,TOT,MLN_USD,A,2009,14478067,,0.3394357871054,
USA,GDP,TOT,MLN_USD,A,2010,15048970,,0.337268752023193,
USA,GDP,TOT,MLN_USD,A,2011,15599731,,0.334102616845822,
USA,GDP,TOT,MLN_USD,A,2012,16253970,,0.33706513477549,
USA,GDP,TOT,MLN_USD,A,2013,16843196,,0.335096214764642,
USA,GDP,TOT,MLN_USD,A,2014,17550687,,0.337255337870313,
USA,GDP,TOT,MLN_USD,A,2015,18206023,,0.338040367237312,
USA,GDP,TOT,MLN_USD,A,2016,18695106,,0.333271711288728,
USA,GDP,TOT,MLN_USD,A,2017,19479623,,0.33258003068737,
USA,GDP,TOT,MLN_USD,A,2018,20527159,,0.335421389467528,
USA,GDP,TOT,MLN_USD,A,2019,21372582,,0.340363238143064,0.3359353473648
USA,GDP,TOT,MLN_USD,A,2020,20893746,,0.338865895421367,
USA,GDP,TOT,MLN_USD,A,2021,22996100,E,0.343574256469432,
OECD,GDP,TOT,MLN_USD,A,2007,42136027.703,,,
OECD,GDP,TOT,MLN_USD,A,2008,43563510.189,,,
OECD,GDP,TOT,MLN_USD,A,2009,42653331.057,,,
OECD,GDP,TOT,MLN_USD,A,2010,44620113.514,B,,
OECD,GDP,TOT,MLN_USD,A,2011,46691436.144,,,
OECD,GDP,TOT,MLN_USD,A,2012,48222044.712,,,
OECD,GDP,TOT,MLN_USD,A,2013,50263760.848,,,
OECD,GDP,TOT,MLN_USD,A,2014,52039760.47,,,
OECD,GDP,TOT,MLN_USD,A,2015,53857541.183,,,
OECD,GDP,TOT,MLN_USD,A,2016,56095688.193,,,
OECD,GDP,TOT,MLN_USD,A,2017,58571234.598,,,
OECD,GDP,TOT,MLN_USD,A,2018,61198121.66,,,
OECD,GDP,TOT,MLN_USD,A,2019,62793450.07,P,,
OECD,GDP,TOT,MLN_USD,A,2020,61657860.181,E,,
OECD,GDP,TOT,MLN_USD,A,2021,66931964.683,E,,
