LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes,,inflation,In 2015 preisen,Cpi 2019 base,GDP in 2019 preisen,,summe GDP in 2019 preisen,,CPI 2013,GDP in 2013 prices,Sum 2013 prices
USA,GDP,TOT,MLN_USD,A,2007,14474228,,,,,,,,,,,,
USA,GDP,TOT,MLN_USD,A,2008,14769862,,,,,,,,,,,,
USA,GDP,TOT,MLN_USD,A,2009,14478067,,,,,,,,,,,,
USA,GDP,TOT,MLN_USD,A,2010,15048970,,,,,,,,,,,,
USA,GDP,TOT,MLN_USD,A,2011,15599731,,,,,,,,,,,,
USA,GDP,TOT,MLN_USD,A,2012,16253970,,,,,,,,,,,,
USA,GDP,TOT,MLN_USD,A,2013,16843196,,,98.28708,,,,,,,100,16843196,
USA,GDP,TOT,MLN_USD,A,2014,17550687,,,99.88152,17571505.719977,92.5989805737934,18953434.3588303,,102140824.682949,,101.622227458584,17270519.8841984,93071530.4824655
USA,GDP,TOT,MLN_USD,A,2015,18206023,,,100,18206023,92.7088219860826,19637853.884858,,,,101.742772295199,17894168.3908284,
USA,GDP,TOT,MLN_USD,A,2016,18695106,,98280493,101.2616,18462187.0481999,93.878436484259,19914164.2107926,,,,103.026359110475,18145944.5538139,
USA,GDP,TOT,MLN_USD,A,2017,19479623,,,103.4186,18835705.5694043,95.8781657744988,20317058.4696157,,,,105.220950708883,18513065.0015649,
USA,GDP,TOT,MLN_USD,A,2018,20527159,,,105.9446,19375370.7126177,98.2199906178672,20899166.1176823,,,,107.790973137059,19043486.1126072,
USA,GDP,TOT,MLN_USD,A,2019,21372582,,,107.8646,19814269.0002095,100,21372582,,,,109.744434365127,19474866.4236511,
USA,GDP,TOT,MLN_USD,A,2020,20893746,,,,,,,,,,,,
USA,GDP,TOT,MLN_USD,A,2021,22996100,E,,,,,,,,,,,
OECD,GDP,TOT,MLN_USD,A,2007,42136027.703,,,,,,,,,,,,
OECD,GDP,TOT,MLN_USD,A,2008,43563510.189,,,,,,,,,,,,
OECD,GDP,TOT,MLN_USD,A,2009,42653331.057,,,,,,,,,,,,
OECD,GDP,TOT,MLN_USD,A,2010,44620113.514,B,,,,,,,,,,,
OECD,GDP,TOT,MLN_USD,A,2011,46691436.144,,,,,,,,,,,,
OECD,GDP,TOT,MLN_USD,A,2012,48222044.712,,,,,,,,,,,,
OECD,GDP,TOT,MLN_USD,A,2013,50263760.848,,,,,,,,,,,,
OECD,GDP,TOT,MLN_USD,A,2014,52039760.47,,,,,,,,,,,,
OECD,GDP,TOT,MLN_USD,A,2015,53857541.183,,,,,,,,,,,,
OECD,GDP,TOT,MLN_USD,A,2016,56095688.193,,344555796.174,,,,,,,,,,
OECD,GDP,TOT,MLN_USD,A,2017,58571234.598,,,,,,,,,,,,
OECD,GDP,TOT,MLN_USD,A,2018,61198121.66,,,,,,,,,,,,
OECD,GDP,TOT,MLN_USD,A,2019,62793450.07,P,,,,,,,,,,,
OECD,GDP,TOT,MLN_USD,A,2020,61657860.181,E,,,,,,,,,,,
OECD,GDP,TOT,MLN_USD,A,2021,66931964.683,E,,,,,,,,,,,
